WEO_Country_Code,Country,Advanced_Country,Year,PCPIPCH,GGSB_NPGDP,GGXWDG_NGDP,PPPPC,TX_RPCH,TM_RPCH,NID_NGDP
213,Argentina,0,2000,-0.939,-4.552,40.833,13529.29,1.898,-2.322,15.337
213,Argentina,0,2001,-1.065,-5.59,48.007,13091.488,6.096,-16.587,13.64
213,Argentina,0,2002,25.869,1.188,147.203,11733.021,0.244,-53.558,9.965
213,Argentina,0,2003,13.443,3.453,125.162,12914.244,5.006,48.953,12.877
213,Argentina,0,2004,4.416,4.719,117.878,14308.616,-0.15,51.05,17.551
213,Argentina,0,2005,9.642,4.376,80.282,15911.199,11.583,18.243,18.888
213,Argentina,0,2006,10.898,2.755,70.793,17549.655,4.473,12.871,18.68
213,Argentina,0,2007,8.83,0.688,62.133,19456.17,5.935,22.147,20.099
213,Argentina,0,2008,8.585,-0.446,53.814,20433.475,-0.739,14.525,19.573
213,Argentina,0,2009,6.27,0.479,55.397,19155.3,-10.68,-23.812,16.053
213,Argentina,0,2010,10.461,-0.804,43.454,21008.87,13.473,39.539,17.706
213,Argentina,0,2011,9.775,-3.745,38.935,22469.136,2.368,21.71,18.398
213,Argentina,0,2012,10.043,-3.485,40.436,22396.505,-5.61,-5.815,16.502
213,Argentina,0,2013,10.619,-3.966,43.496,23065.977,-3.807,3.576,17.306
213,Argentina,0,2014,15.6391448926841,-3.973,44.697,22627.919,-7.851,-10.942,17.263
213,Argentina,0,2015,33.77076841389352,-6.442,52.563,23210.096,-1.677,2.717,17.071
213,Argentina,0,2016,52.25267905365504,-6.918,53.06,22701.938,6.894,3.498,17.663
213,Argentina,0,2017,25.675,-7.082,57.028,23514.667,-0.246,14.357,18.213
213,Argentina,0,2018,34.277,-4.653,85.246,24498.379,-0.417,-6.102,16.614
213,Argentina,0,2019,53.548,-3.728,89.84,23535.013,12.099,-20.977,14.1
213,Argentina,0,2020,42.015,-5.291,103.816,22302.151,-12.796,-10.326,16.598
213,Argentina,0,2021,48.409,-3.915,81.043,26015.237,12.578,29.658,17.875
213,Argentina,0,2022,72.431,-4.517,84.463,29068.299,-1.816,11.605,17.802
213,Argentina,0,2023,133.489,-4.907,155.411,29335.855,-14.38,-2.456,18.805
213,Argentina,0,2024,229.824,0.512,91.473,28704.096,20.14,-17.406,20.57
193,Australia,1,2000,4.457,1.318,19.494,28405.206,11.738,8.036,24.946
193,Australia,1,2001,4.407,0.132,17.107,29424.446,3.027,-4.651,23.46
193,Australia,1,2002,3.049,0.299,15.012,30777.881,0.836,10.877,25.219
193,Australia,1,2003,2.731,1.025,13.185,31972.501,-1.202,11.006,26.748
193,Australia,1,2004,2.342,1.207,11.907,33806.141,3.864,15.548,27.214
193,Australia,1,2005,2.659,1.603,10.859,35450.928,3.352,9.361,27.834
193,Australia,1,2006,3.554,1.631,9.938,36930.167,3.392,8.719,27.085
193,Australia,1,2007,2.356,1.161,9.665,38847.793,3.308,13.032,28.196
193,Australia,1,2008,4.348,-1.333,11.742,39747.859,4.663,10.897,28.335
193,Australia,1,2009,1.77,-4.434,16.622,40056.322,1.928,-9.053,26.929
193,Australia,1,2010,2.863,-4.865,20.349,40951.336,5.604,16.275,26.305
193,Australia,1,2011,3.356,-4.332,24.039,42291.726,-0.259,10.232,26.836
193,Australia,1,2012,1.686,-3.752,27.518,43921.566,5.718,6.569,28.442
